brightness,cam0_lidar_skew_ms,cam0_sensor_time_ns,cam1_lidar_skew_ms,cam1_sensor_time_ns,depth_valid_ratio,dynamic_ratio,filter_input_ratio,filter_output_ratio,filter_rejected_ratio,lidar_sensor_time_ns,lr_consistency,map_x_m,map_y_m,map_yaw_deg,map_z_m,mean_confidence,median_depth_m,prepared_frame,raw_epipolar_matches,raw_epipolar_median_px,raw_epipolar_p95_px,rectified_epipolar_matches,rectified_epipolar_median_px,rectified_epipolar_p95_px,selected_frame,selection_reason,semantic_label_count,semantic_nonzero_ratio,sharpness,source_frame,split,stereo_delta_ms,temporal_agreement,unknown_ratio
116.95913411458334,22.438363,1784879109942370798,22.573275,1784879109942505710,0.9132877604166667,0.06828125,0.9132877604166667,0.8544441731770833,0.0644305002102922,1784879109919932435,0.9132877604166667,11.001583554570928,-0.9403553653398413,-10.669000313396305,0.025260351152882478,0.9477491974830627,2.210658073425293,457,695,2.428009033203125,9.527587890625,780,0.264007568359375,1.7107452392578097,302,pose_motion,12,0.7462727864583333,368.53454176033273,483,calibration,0.134912,0.902961796225949,0.17661458333333332
117.62569742838542,-11.633682,1784879110008359962,-10.049182,1784879110009944462,0.913408203125,0.018802083333333334,0.913408203125,0.86672119140625,0.05111297616883881,1784879110019993644,0.913408203125,11.054489344570928,-0.9485825382980689,-10.371277898827564,0.02766199370096832,0.9347010850906372,2.217355966567993,458,712,2.60498046875,10.096282958984375,740,0.24338912963867188,1.6848205566406236,303,image_event_at_static_pose,12,0.7462727864583333,290.95031804718946,484,calibration,1.5845,0.8647655280254058,0.17723958333333334
118.7923974609375,21.883341,1784879110142238663,21.798067,1784879110142153389,0.9271525065104167,0.05921875,0.9271525065104167,0.87079345703125,0.060787248142475325,1784879110120355322,0.9272204181621375,11.102467503677303,-0.9581830842543481,-10.058082333071264,0.025634206168840167,0.9394086003303528,2.1204092502593994,459,687,2.451690673828125,10.393667602539058,812,0.2762908935546875,1.8156738281249987,304,pose_motion,10,0.7250748697916667,387.27911702418265,485,calibration,0.085274,0.8455788922938934,0.20604166666666668
119.62720621744792,-12.987447,1784879110207090906,-13.371373,1784879110206706980,0.93996826171875,0.0065625,0.93996826171875,0.8864542643229166,0.05693170671314153,1784879110220078353,0.9400149258711573,11.146905210916156,-0.9669417547935767,-9.9267498711162,0.02521837440800755,0.9519033432006836,2.140012741088867,460,702,2.4000091552734375,10.18043060302733,742,0.2540283203125,1.6324104309082013,305,image_event_at_static_pose,10,0.7250748697916667,385.6258438730074,486,calibration,0.383926,0.8563971568191915,0.16333333333333333
121.41815022786459,19.745781,1784879110339226250,21.502408,1784879110340982877,0.92006103515625,0.06177083333333333,0.92006103515625,0.8481868489583333,0.07811893282244105,1784879110319480469,0.920243016807523,11.191345014831686,-0.9766655077871492,-9.839050248003245,0.024414397235930137,0.9571428894996643,2.180809497833252,461,754,2.3654396533966064,11.094009399414062,784,0.2513427734375,1.6103561401367164,306,pose_motion,10,0.7250748697916667,399.95419655685373,487,calibration,1.756627,0.8279226214936913,0.19744791666666667
122.47742513020833,-19.496458,1784879110400431315,-13.813165,1784879110406114608,0.9331575520833333,0.032239583333333335,0.9331575520833333,0.8930183919270833,0.043014344219405164,1784879110419927773,0.9331818536941067,11.238156669736068,-0.9928593917112645,-9.777061546812453,0.018272379623303022,0.9438460469245911,2.1448044776916504,462,721,2.43487548828125,11.210563659667969,797,0.2938232421875,1.5571289062499998,307,image_event_at_static_pose,10,0.6939388020833334,405.66264210822783,488,development,5.683293,0.8475168256195975,0.18375
124.63061116536458,19.640476,1784879110540460135,23.794641,1784879110544614300,0.93348876953125,0.058854166666666666,0.93348876953125,0.9216951497395833,0.012633917168161344,1784879110520819659,0.93348876953125,11.2895021097033,-1.0034699903579518,-9.478331526027096,0.015099015996618208,0.9541857838630676,2.146817445755005,463,738,2.4279327392578125,9.896751022338865,758,0.26495361328125,1.4098373413085938,308,pose_motion,10,0.6939388020833334,340.8821238857271,489,development,4.154165,0.8848035514752514,0.204375
125.63473063151042,-11.542772,1784879110607987403,-9.531184,1784879110609998991,0.9251009114583333,0.015416666666666667,0.9251009114583333,0.9079012044270833,0.01859224957862846,1784879110619530175,0.9251009114583333,11.334932299287729,-1.011642617005394,-9.205559234633625,0.013210763529753788,0.9402604699134827,2.169670581817627,464,785,2.2900390625,9.93026733398437,797,0.28155517578125,1.6777770996093682,309,image_event_at_static_pose,10,0.6706453450520833,394.75382811448566,490,development,2.011588,0.9280735211915957,0.11609375
127.76758219401042,23.074171,1784879110743330042,14.381178,1784879110734637049,0.9125398763020833,0.05151041666666667,0.9125398763020833,0.8853605143229166,0.02978430059331383,1784879110720255871,0.9125398763020833,11.38798308840467,-1.0161535071537444,-9.212028194088369,0.015598301430102195,0.9387869238853455,2.085568904876709,465,762,2.500457763671875,10.705344963073724,758,0.261688232421875,1.8636413574218746,310,pose_motion,10,0.6706453450520833,400.58602171999644,491,development,8.692993,0.9081482390477359,0.18796875
128.70255452473958,-13.045394,1784879110807841508,-21.457016,1784879110799429886,0.9141031901041666,0.00984375,0.9141031901041666,0.8923396809895834,0.023808591141776095,1784879110820886902,0.9141031901041666,11.437958686416378,-1.0270002967487215,-8.98186039567142,0.015478213429036262,0.9493569135665894,2.0822510719299316,466,733,2.6463623046875,10.436431884765621,780,0.259857177734375,1.7652008056640618,311,image_event_at_static_pose,10,0.6706453450520833,423.7316756181974,492,development,8.411622,0.9008045591686222,0.1459375
